SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,451 W Aldine Ave #3,Chicago,IL,60657,2795000,5,5.5,CHI - Lake View,4500,,1920,1,621,1500,Active,,,https://www.redfin.com/IL/Chicago/451-W-Aldine-Ave-60657/unit-3/home/12773666,MRED,11640780,N,Y,41.9420472,-87.6420408
MLS Listing,,Single Family Residential,3925 N Oconto Ave,Chicago,IL,60634,359000,4,2.5,CHI - Dunning,1491,3781,1925,1,241,,Active,,,https://www.redfin.com/IL/Chicago/3925-N-Oconto-Ave-60634/home/13542493,MRED,11645447,N,Y,41.9514,-87.8081542
MLS Listing,,Condo/Co-op,4858 N Kenmore Ave Unit 1N,Chicago,IL,60640,625000,3,2.5,CHI - Uptown,,,2020,1,,380,Active,,,https://www.redfin.com/IL/Chicago/4858-N-Kenmore-Ave-60640/unit-1N/home/173644146,MRED,11645449,N,Y,41.9707668,-87.6566111
MLS Listing,,Condo/Co-op,3508 N Reta Ave #201,Chicago,IL,60657,539000,2,2.0,CHI - Lake View,1250,,2017,1,431,133,Active,,,https://www.redfin.com/IL/Chicago/3508-N-Reta-Ave-60657/unit-201/home/182134166,MRED,11645440,N,Y,41.9458007,-87.6508975
MLS Listing,,Condo/Co-op,100 E Walton St Unit 22G,Chicago,IL,60611,198750,1,1.0,CHI - Near North Side,650,,1974,1,306,610,Active,,,https://www.redfin.com/IL/Chicago/100-E-Walton-St-60611/unit-22G/home/14121592,MRED,11645437,N,Y,41.9002501,-87.6250781
MLS Listing,,Multi-Family (2-4 Unit),7952 S Carpenter St,Chicago,IL,60620,349900,9,3.0,CHI - Auburn Gresham,,,,1,,,Active,,,https://www.redfin.com/IL/Chicago/7952-S-Carpenter-St-60620/home/18952763,MRED,11645425,N,Y,41.7489794,-87.6503961
MLS Listing,,Multi-Family (2-4 Unit),7926 S Carpenter St,Chicago,IL,60620,349900,9,3.0,CHI - Auburn Gresham,,4791,,1,,,Active,,,https://www.redfin.com/IL/Chicago/7926-S-Carpenter-St-60620/home/18952760,MRED,11645424,N,Y,41.7497096,-87.6503734
MLS Listing,,Townhouse,451 W Hobbie St,Chicago,IL,60610,875000,3,2.0,CHI - Near North Side,2198,,2015,1,398,233,Active,,,https://www.redfin.com/IL/Chicago/451-W-Hobbie-St-60610/home/62636061,MRED,11645421,N,Y,41.9014053,-87.6406926
MLS Listing,,Condo/Co-op,7401 N Sheridan Rd #202,Chicago,IL,60626,264000,2,1.5,CHI - Rogers Park,,,1969,1,,353,Active,,,https://www.redfin.com/IL/Chicago/7401-N-Sheridan-Rd-60626/unit-202/home/13575732,MRED,11645413,N,Y,42.0162857,-87.6647363
MLS Listing,,Single Family Residential,5851 N Louise Ave,Chicago,IL,60646,279900,2,1.5,CHI - Forest Glen,1200,,1925,1,233,,Active,,,https://www.redfin.com/IL/Chicago/5851-N-Louise-Ave-60646/home/13513026,MRED,11642028,N,Y,41.9889161,-87.7529023
MLS Listing,,Condo/Co-op,5100 N Marine Dr Unit 20A,Chicago,IL,60640,265000,2,2.0,CHI - Uptown,1250,,1970,1,212,698,Active,,,https://www.redfin.com/IL/Chicago/5100-N-Marine-Dr-60640/unit-20A/home/13399769,MRED,11645404,N,Y,41.9756204,-87.6522943
MLS Listing,,Condo/Co-op,400 E Ohio St #4103,Chicago,IL,60611,800000,3,3.0,CHI - Near North Side,2005,,1982,1,399,1866,Active,,,https://www.redfin.com/IL/Chicago/400-E-Ohio-St-60611/unit-4103/home/14098193,MRED,11645401,N,Y,41.892791,-87.617495
MLS Listing,,Condo/Co-op,8 E Randolph St #2701,Chicago,IL,60601,599000,2,2.0,CHI - Loop,1365,,2008,1,439,1220,Active,,,https://www.redfin.com/IL/Chicago/8-E-Randolph-St-60601/unit-2701/home/21810021,MRED,11645399,N,Y,41.8846478,-87.6274056
MLS Listing,,Single Family Residential,4012 N Hermitage Ave,Chicago,IL,60613,999000,4,3.5,CHI - Lake View,2214,4125,1900,1,451,,Active,October-8-2022 02:00 PM,October-8-2022 04:00 PM,https://www.redfin.com/IL/Chicago/4012-N-Hermitage-Ave-60613/home/13389306,MRED,11645396,N,Y,41.9547526,-87.672534
MLS Listing,,Multi-Family (2-4 Unit),6320 N Paulina St,Chicago,IL,60660,799495,8,3.0,CHI - Edgewater,,,1905,1,,,Active,,,https://www.redfin.com/IL/Chicago/6320-N-Paulina-St-60660/home/13407518,MRED,11645263,N,Y,41.9962518,-87.6722718
MLS Listing,,Single Family Residential,8104 S Dorchester Ave,Chicago,IL,60619,335000,4,2.0,CHI - Avalon Park,1456,7666,1913,1,230,,Active,,,https://www.redfin.com/IL/Chicago/8104-S-Dorchester-Ave-60619/home/12557979,MRED,11645390,N,Y,41.7474675,-87.5908037
